<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20170330,186.2411,188.1036,186.2411,188.1036,11700
SAB,20170331,188.1036,188.1036,186.2411,186.2411,10830
SAB,20170403,186.2411,188.0104,186.2411,186.6136,20480
SAB,20170404,185.6824,186.6136,185.6824,186.6136,11070
SAB,20170405,188.5691,189.0348,186.7998,189.0348,24480
SAB,20170407,189.0348,190.8972,188.1036,190.8972,22080
SAB,20170410,189.9660,194.6220,189.8729,194.6220,41220
SAB,20170411,194.6220,195.0876,192.7596,193.2252,47920
SAB,20170412,192.7596,193.2252,189.0348,189.0348,7830
SAB,20170413,188.1036,191.8284,188.1036,190.8972,17760
SAB,20170414,192.6665,192.6665,188.5692,189.9660,24610
SAB,20170417,190.8972,192.7596,189.9660,192.7596,60990
SAB,20170418,191.8284,191.8284,189.5004,190.8972,49600
SAB,20170419,190.8972,190.8972,186.7068,187.6380,9950
SAB,20170420,187.6380,187.6380,186.2411,186.2411,23910
SAB,20170421,186.2411,187.1724,184.3787,187.1724,28730
SAB,20170424,187.1724,187.6380,186.2411,186.2411,54940
SAB,20170425,185.3099,186.2411,185.3099,185.3099,12720
SAB,20170426,185.7755,186.7068,185.3099,186.7068,15380
SAB,20170427,186.7068,187.1724,186.1480,186.1480,66200
SAB,20170428,186.1480,186.2411,184.3787,186.1480,7590
SAB,20170503,186.1480,186.1480,185.3099,186.1480,5880
SAB,20170504,186.1480,186.1480,184.6581,185.3099,39290
SAB,20170505,185.1237,185.6824,185.1237,185.5893,1140
SAB,20170508,185.7755,185.7755,185.3099,185.3099,38090
SAB,20170509,185.3099,185.3099,183.1681,183.1682,15040
SAB,20170510,182.9820,185.3100,182.9820,183.2613,7830
SAB,20170511,183.2613,184.6581,182.4232,182.4232,18710
SAB,20170512,182.5163,184.2856,182.5163,182.9819,7380
SAB,20170515,182.9819,182.9819,180.6539,180.6539,23710
SAB,20170516,180.6539,180.6539,177.9534,177.9534,8650
SAB,20170517,175.0667,181.5851,175.0667,175.7185,21820
SAB,20170518,175.8116,176.9291,175.8116,176.8360,8860
SAB,20170519,176.9291,176.9291,175.9048,176.9291,18730
SAB,20170522,176.9291,178.7915,176.4635,177.3016,68360
SAB,20170523,182.0507,182.2370,177.8603,180.6539,234300
SAB,20170524,180.6539,180.6539,177.2084,177.8603,38050
SAB,20170525,176.9291,177.8603,176.8360,177.8603,48990
SAB,20170526,180.2814,180.2814,175.0667,176.4635,28150
SAB,20170529,176.4635,177.3947,176.4635,176.9291,79770
SAB,20170530,177.8603,177.9534,176.9291,177.8603,49970
SAB,20170531,177.1153,177.9534,176.0910,176.0910,133970
SAB,20170601,176.1841,178.0465,176.1841,176.9291,19790
SAB,20170602,176.9291,177.8603,175.9979,177.8603,11640
SAB,20170605,177.1153,177.8603,176.9291,177.8603,21070
SAB,20170606,177.8603,178.1397,176.2773,178.1397,40210
SAB,20170607,178.1397,178.6984,176.9291,178.6984,32930
SAB,20170608,178.3259,178.3259,177.3947,177.8603,1840
SAB,20170609,176.1841,178.7915,176.1841,177.8603,7830
SAB,20170612,177.8603,180.5608,176.9291,180.5608,55930
SAB,20170613,181.4920,181.4920,179.2571,181.4920,19500
SAB,20170614,181.5851,188.1036,181.4920,186.2411,140190
SAB,20170615,188.1035,188.1035,186.2411,186.2411,13680
SAB,20170616,186.2411,189.0347,186.2411,186.5205,13430
SAB,20170619,187.1723,187.1724,186.2411,187.1724,47210
SAB,20170620,187.1724,189.0348,174.9736,189.0348,48670
SAB,20170621,189.0348,190.8041,188.1036,190.8041,19620
SAB,20170622,190.8041,191.6422,189.1279,190.8972,5890
SAB,20170623,190.7110,192.6665,190.2454,192.6665,36240
SAB,20170626,192.7596,193.2252,191.8284,193.1321,13630
SAB,20170627,193.1321,193.6908,192.2940,193.1321,16400
SAB,20170628,193.1321,193.1321,187.3586,192.5733,8280
SAB,20170629,192.5733,193.2251,188.1966,192.2940,66380
SAB,20170630,192.2940,194.6220,192.2940,193.9702,81400
SAB,20170703,195.5533,196.0189,189.9660,195.5532,50930
SAB,20170704,190.8972,196.3913,190.8972,196.3913,44930
SAB,20170705,194.6220,195.5532,194.6220,195.5532,8580
SAB,20170706,195.5532,195.5532,193.3183,195.5532,5360
SAB,20170707,195.5532,195.6463,194.2495,195.5532,11440
SAB,20170710,195.5532,195.9257,194.6220,195.5532,65040
SAB,20170711,195.5532,196.3913,195.0876,196.0188,85430
SAB,20170712,196.5775,196.9500,195.5532,195.7394,9580
SAB,20170713,195.5532,196.0188,194.1564,196.0188,44270
SAB,20170714,196.9500,197.2294,196.4844,196.9500,50680
SAB,20170717,197.4156,206.7277,197.4156,204.3997,44950
SAB,20170718,207.6589,212.3150,205.7965,210.4525,87890
SAB,20170719,212.2218,219.7646,211.3837,216.1329,171600
SAB,20170720,216.1329,218.8334,210.4525,217.9021,93230
SAB,20170721,217.9021,221.1613,216.0397,219.2990,117590
SAB,20170724,219.2990,220.1371,208.5901,219.2990,111440
SAB,20170725,218.8334,219.7646,216.7847,219.2990,19390
SAB,20170726,219.7646,219.7646,204.3066,219.0196,28870
SAB,20170727,214.1773,219.2058,214.1773,219.0196,25440
SAB,20170728,218.8334,219.2990,215.2017,219.2990,15600
SAB,20170731,216.0398,220.6027,216.0398,220.6026,95520
SAB,20170801,223.4893,228.0523,221.6269,228.0523,69450
SAB,20170802,228.0523,228.6110,223.9550,228.5179,14340
SAB,20170803,228.1454,228.8904,226.3761,228.1454,5910
SAB,20170804,228.8904,228.8904,223.9550,228.8904,15550
SAB,20170807,228.1454,244.9071,228.1454,231.9634,33620
SAB,20170808,240.7167,240.7167,231.9634,235.5951,41220
SAB,20170809,234.6639,241.6479,225.3518,225.3518,61800
SAB,20170810,231.8702,233.2670,225.8174,231.8702,19570
SAB,20170811,231.8702,233.2670,228.2385,230.9390,25140
SAB,20170814,229.1697,232.7083,227.2142,227.2142,25970
SAB,20170815,228.9835,228.9835,220.6958,226.1899,80350
SAB,20170816,228.6110,231.8703,223.5825,231.7771,39460
SAB,20170817,232.6152,244.9071,232.6152,235.5951,85640
SAB,20170818,229.0767,237.4575,229.0767,235.5951,48040
SAB,20170821,230.9391,239.3199,228.1455,239.3199,59480
